method,arm,n_targets,ties_skipped,pct_math_gt_words_All,pct_Algebra,pct_Calculus and Analysis,pct_Combinatorics,pct_Geometry,pct_Number Theory,mean_pr_full,mean_pr_math,mean_pr_text
Raderspace/RaDeR_Qwen25-14B_NuminaMath_MATH_allquerytypes,p2,969,0,55.21,80.27,96.11,37.95,25.76,47.79,0.6826,0.6297,0.6221
Raderspace/RaDeR_Qwen25-14B_NuminaMath_MATH_allquerytypes,p3,969,0,53.15,79.59,92.78,37.95,25.25,42.97,0.7031,0.6436,0.6392
Raderspace/RaDeR_Qwen25_3B_NuminaMath_MATH_allquerytypes,p0,969,0,54.59,76.19,82.22,43.59,32.32,48.19,0.7837,0.7493,0.746
Raderspace/RaDeR_Qwen25_3B_NuminaMath_MATH_allquerytypes,p1,969,0,43.45,58.5,77.22,35.38,26.26,30.12,0.7568,0.7116,0.7239
Raderspace/RaDeR_Qwen25_3B_NuminaMath_MATH_allquerytypes,p2,969,0,44.69,62.59,78.33,36.41,24.75,32.13,0.748,0.7048,0.714
Raderspace/RaDeR_Qwen25_3B_NuminaMath_MATH_allquerytypes,p3,969,0,48.61,70.75,83.89,36.92,26.26,36.95,0.7659,0.7189,0.7243
Qwen/Qwen3-Embedding-0.6B,p0,969,0,54.28,87.07,93.89,37.44,30.3,38.55,0.6444,0.5393,0.5071
Qwen/Qwen3-Embedding-0.6B,p1,969,0,51.19,82.31,91.67,35.38,29.29,33.33,0.6064,0.5201,0.5126
Qwen/Qwen3-Embedding-0.6B,p2,969,0,53.35,82.99,92.22,36.92,29.8,39.36,0.6085,0.5186,0.4957
Qwen/Qwen3-Embedding-0.6B,p3,969,0,50.77,82.99,92.78,35.38,25.76,33.33,0.6264,0.5328,0.5147
Qwen/Qwen3-Embedding-8B,p0,969,0,52.43,79.59,92.22,35.38,29.29,39.36,0.6255,0.5335,0.5168
